partition_id,partition_type,aggregator,communication_round,num_bn_layers,total_bn_features,mean_of_running_mean,std_of_running_mean,min_running_mean,max_running_mean,mean_of_running_var,std_of_running_var,min_running_var,max_running_var,cv_running_mean,cv_running_var
IID_Partition,IID,FedAvg,20,54,8664,-1.1844002,6.14395,-62.06872,61.964523,44.77871,97.563484,0.0,1257.0182,518.7394,217.87918
IID_Partition,IID,FedAvg,40,54,8664,-1.0084106,4.735043,-55.51542,54.852077,25.312685,61.229443,0.0,817.5005,469.55508,241.89233
IID_Partition,IID,FedAvg,60,54,8664,-0.93534416,4.2648787,-49.84062,50.61607,20.33143,50.007984,0.0,703.53217,455.96896,245.96393
IID_Partition,IID,FedAvg,80,54,8664,-0.87904024,3.973887,-45.027206,47.11703,17.584501,43.23055,0.0,634.06165,452.0711,245.8446
IID_Partition,IID,FedAvg,100,54,8664,-0.8331956,3.761839,-40.598347,44.78063,15.728505,38.57332,0.0,585.30865,451.49527,245.24464
Non_IID_Partition,Non-IID,FedAvg,20,54,8664,-1.0470716,5.079329,-55.45449,56.528088,29.797462,70.77735,0.0,926.42004,485.09854,237.5281
Non_IID_Partition,Non-IID,FedAvg,40,54,8664,-0.9089075,4.1125584,-46.740295,51.587955,19.37524,48.40177,0.0,672.0211,452.47275,249.8125
Non_IID_Partition,Non-IID,FedAvg,60,54,8664,-0.8306439,3.646791,-44.503483,43.495476,15.042251,37.295254,0.0,617.6017,439.03183,247.93666
Non_IID_Partition,Non-IID,FedAvg,80,54,8664,-0.766395,3.3476505,-40.70434,40.1036,12.605941,31.460634,0.0,576.0281,436.80487,249.56989
Non_IID_Partition,Non-IID,FedAvg,100,54,8664,-0.7049197,3.0995576,-39.75684,37.129765,10.727767,26.796844,0.0,526.7957,439.70364,249.78957
